model,power_mode,config,device,precision,repeat,latency_ms_mean,latency_ms_p50,latency_ms_p99,throughput_ips,iters,idle_compute_mw,active_compute_mw_mean,dynamic_compute_mw_mean,total_module_mw_mean,energy_mj_per_inf,perf_per_watt_ips_w,tj_start_c,tj_peak_c,throttled
complex,15W,GPU-FP32,GPU,FP32,0,7.894948584394501,7.616812999913236,11.358611001924146,107.58294887172374,19365,1651.5574468085106,3938.535294947121,2286.9778481386106,9698.020737955347,18.055572524703503,47.041535168032496,58.406,72.312,True
complex,15W,GPU-FP16,GPU,FP16,0,4.04781287496172,3.3588410005904734,7.786230002238881,185.31435003699772,33357,1180.5821276595746,3383.6548665490886,2203.072738889514,8610.604773662551,8.917626196954155,84.11631026327697,54.25,68.562,False
complex,15W,CPU,CPU,FP32,0,126.86266840833314,118.64642000000458,229.4049369993445,7.753745370250306,1396,1207.7671489361703,4036.332182356424,2828.5650334202537,8170.042543516874,358.8393079061994,2.741229308372877,53.031,67.468,False
light,15W,GPU-FP32,GPU,FP32,0,3.8122594830709966,3.091567003139062,7.101504001184367,193.133760823979,34765,1158.7125106382978,2548.0236096413873,1389.3110990030896,7222.133352145796,5.296414412110316,139.01404873434294,53.281,64.593,False
light,15W,GPU-FP16,GPU,FP16,0,2.5338105740984807,2.2434290003729984,5.055141999037005,256.9594035501909,46253,1187.1911489361703,2401.181608004709,1213.9904590685385,6773.311585638611,3.0760218620425315,211.66509310736168,51.5,61.906,False
light,15W,CPU,CPU,FP32,0,18.64297631288379,18.774345498968614,27.804388002550695,48.45343726721016,8722,1195.539744680851,4029.772921255181,2834.2331765743297,8241.477949082297,52.838541976064604,17.09578367358422,50.156,65.718,False
complex,7W,GPU-FP32,GPU,FP32,0,19.0242606165052,20.001254000362678,25.745799000105762,48.47031306995318,8725,941.3426382978723,2163.3180436063644,1221.975405308492,7005.412544490277,23.247178577548326,39.66553897843523,47.343,60.625,False
complex,7W,GPU-FP16,GPU,FP16,0,9.25658120925637,8.338718999993944,14.706271999784803,92.78744455172172,16702,1043.276255319149,2106.4638488783944,1063.1875935592454,6712.153841794569,9.841482300455008,87.27288120537234,49.437,61.312,False
complex,7W,CPU,CPU,FP32,0,157.74490145745378,156.76717250016736,221.20507099998576,6.263610179738591,1128,927.552,3007.205475429248,2079.653475429248,6841.187353463588,328.054732547238,3.0118528176650967,49.906,62.562,False
light,7W,GPU-FP32,GPU,FP32,0,7.984955519109754,7.4480680000306165,12.09505699989677,106.248782812592,19125,928.9007659574468,1737.069249852333,808.1684838948863,6127.576118133491,6.453189395847033,131.46860454213302,50.25,60.5,False
light,7W,GPU-FP16,GPU,FP16,0,4.410402298015185,3.8265449998107215,9.484855999744468,170.9809517493664,30777,971.1046808510638,1822.8840472813238,851.77936643026,5853.572463356974,3.7566896751059375,200.733850205757,50.156,59.937,False
light,7W,CPU,CPU,FP32,0,26.621144318460637,27.022573500062208,46.23688899982881,34.362440900719186,6186,1228.1400430107526,3045.2149097429765,1817.0748667322239,7237.689420203228,48.37261226472616,18.91085586501762,49.906,63.531,False
