t,rail,mW,zone,C
1780554403.7561235,VDD_IN,5126.976,,
1780554403.7561235,VDD_CPU_GPU_CV,1269.76,,
1780554403.7561235,VDD_SOC,1428.48,,
1780554403.7561235,,,cpu-thermal,53.968
1780554403.7561235,,,gpu-thermal,54.468
1780554403.7561235,,,soc0-thermal,52.468
1780554403.7561235,,,soc1-thermal,52.093
1780554403.7561235,,,soc2-thermal,52.125
1780554403.7561235,,,tj-thermal,54.218
1780554403.8617132,VDD_IN,5031.232,,
1780554403.8617132,VDD_CPU_GPU_CV,1228.096,,
1780554403.8617132,VDD_SOC,1426.176,,
1780554403.8617132,,,cpu-thermal,53.843
1780554403.8617132,,,gpu-thermal,54.25
1780554403.8617132,,,soc0-thermal,52.562
1780554403.8617132,,,soc1-thermal,52.093
1780554403.8617132,,,soc2-thermal,52.125
1780554403.8617132,,,tj-thermal,54.25
1780554403.9672132,VDD_IN,4952.0,,
1780554403.9672132,VDD_CPU_GPU_CV,1186.56,,
1780554403.9672132,VDD_SOC,1423.872,,
1780554403.9672132,,,cpu-thermal,54.062
1780554403.9672132,,,gpu-thermal,54.218
1780554403.9672132,,,soc0-thermal,52.625
1780554403.9672132,,,soc1-thermal,52.187
1780554403.9672132,,,soc2-thermal,52.125
1780554403.9672132,,,tj-thermal,54.218
1780554404.0725517,VDD_IN,4944.0,,
1780554404.0725517,VDD_CPU_GPU_CV,1184.64,,
1780554404.0725517,VDD_SOC,1423.872,,
1780554404.0725517,,,cpu-thermal,54.187
1780554404.0725517,,,gpu-thermal,54.125
1780554404.0725517,,,soc0-thermal,52.437
1780554404.0725517,,,soc1-thermal,51.937
1780554404.0725517,,,soc2-thermal,52.218
1780554404.0725517,,,tj-thermal,54.187
1780554404.1785393,VDD_IN,4936.0,,
1780554404.1785393,VDD_CPU_GPU_CV,1184.64,,
1780554404.1785393,VDD_SOC,1421.568,,
1780554404.1785393,,,cpu-thermal,53.812
1780554404.1785393,,,gpu-thermal,54.562
1780554404.1785393,,,soc0-thermal,52.406
1780554404.1785393,,,soc1-thermal,52.031
1780554404.1785393,,,soc2-thermal,51.968
1780554404.1785393,,,tj-thermal,54.562
1780554404.2841887,VDD_IN,4975.488,,
1780554404.2841887,VDD_CPU_GPU_CV,1182.72,,
1780554404.2841887,VDD_SOC,1421.568,,
1780554404.2841887,,,cpu-thermal,53.906
1780554404.2841887,,,gpu-thermal,54.062
1780554404.2841887,,,soc0-thermal,52.562
1780554404.2841887,,,soc1-thermal,52.031
1780554404.2841887,,,soc2-thermal,52.125
1780554404.2841887,,,tj-thermal,54.406
1780554404.3899796,VDD_IN,4975.488,,
1780554404.3899796,VDD_CPU_GPU_CV,1222.144,,
1780554404.3899796,VDD_SOC,1461.056,,
1780554404.3899796,,,cpu-thermal,54.0
1780554404.3899796,,,gpu-thermal,54.062
1780554404.3899796,,,soc0-thermal,52.562
1780554404.3899796,,,soc1-thermal,51.906
1780554404.3899796,,,soc2-thermal,52.125
1780554404.3899796,,,tj-thermal,54.218
1780554404.4955862,VDD_IN,5023.104,,
1780554404.4955862,VDD_CPU_GPU_CV,1224.128,,
1780554404.4955862,VDD_SOC,1463.424,,
1780554404.4955862,,,cpu-thermal,54.125
1780554404.4955862,,,gpu-thermal,54.593
1780554404.4955862,,,soc0-thermal,52.375
1780554404.4955862,,,soc1-thermal,51.968
1780554404.4955862,,,soc2-thermal,52.125
1780554404.4955862,,,tj-thermal,54.593
1780554404.6013968,VDD_IN,5023.104,,
1780554404.6013968,VDD_CPU_GPU_CV,1224.128,,
1780554404.6013968,VDD_SOC,1463.424,,
1780554404.6013968,,,cpu-thermal,53.812
1780554404.6013968,,,gpu-thermal,54.375
1780554404.6013968,,,soc0-thermal,52.531
1780554404.6013968,,,soc1-thermal,51.968
1780554404.6013968,,,soc2-thermal,52.062
1780554404.6013968,,,tj-thermal,54.375
1780554404.7071013,VDD_IN,5023.104,,
1780554404.7071013,VDD_CPU_GPU_CV,1226.112,,
1780554404.7071013,VDD_SOC,1463.424,,
1780554404.7071013,,,cpu-thermal,53.875
1780554404.7071013,,,gpu-thermal,54.218
1780554404.7071013,,,soc0-thermal,52.468
1780554404.7071013,,,soc1-thermal,52.093
1780554404.7071013,,,soc2-thermal,51.968
1780554404.7071013,,,tj-thermal,54.218
1780554404.8127546,VDD_IN,4991.616,,
1780554404.8127546,VDD_CPU_GPU_CV,1186.56,,
1780554404.8127546,VDD_SOC,1465.792,,
1780554404.8127546,,,cpu-thermal,53.906
1780554404.8127546,,,gpu-thermal,54.125
1780554404.8127546,,,soc0-thermal,52.625
1780554404.8127546,,,soc1-thermal,51.875
1780554404.8127546,,,soc2-thermal,52.062
1780554404.8127546,,,tj-thermal,54.125
1780554404.9183095,VDD_IN,4920.32,,
1780554404.9183095,VDD_CPU_GPU_CV,1148.864,,
1780554404.9183095,VDD_SOC,1468.16,,
1780554404.9183095,,,cpu-thermal,53.937
1780554404.9183095,,,gpu-thermal,54.218
1780554404.9183095,,,soc0-thermal,52.437
1780554404.9183095,,,soc1-thermal,51.875
1780554404.9183095,,,soc2-thermal,52.0
1780554404.9183095,,,tj-thermal,53.968
1780554405.0235953,VDD_IN,4880.64,,
1780554405.0235953,VDD_CPU_GPU_CV,1111.04,,
1780554405.0235953,VDD_SOC,1428.48,,
1780554405.0235953,,,cpu-thermal,53.843
1780554405.0235953,,,gpu-thermal,54.125
1780554405.0235953,,,soc0-thermal,52.437
1780554405.0235953,,,soc1-thermal,51.906
1780554405.0235953,,,soc2-thermal,52.0
1780554405.0235953,,,tj-thermal,54.125
1780554405.1290188,VDD_IN,4920.32,,
1780554405.1290188,VDD_CPU_GPU_CV,1148.864,,
1780554405.1290188,VDD_SOC,1468.16,,
1780554405.1290188,,,cpu-thermal,53.812
1780554405.1290188,,,gpu-thermal,54.062
1780554405.1290188,,,soc0-thermal,52.437
1780554405.1290188,,,soc1-thermal,52.062
1780554405.1290188,,,soc2-thermal,51.968
1780554405.1290188,,,tj-thermal,54.062
1780554405.2345922,VDD_IN,4960.0,,
1780554405.2345922,VDD_CPU_GPU_CV,1188.48,,
1780554405.2345922,VDD_SOC,1468.16,,
1780554405.2345922,,,cpu-thermal,53.875
1780554405.2345922,,,gpu-thermal,53.968
1780554405.2345922,,,soc0-thermal,52.531
1780554405.2345922,,,soc1-thermal,51.812
1780554405.2345922,,,soc2-thermal,52.0
1780554405.2345922,,,tj-thermal,53.968
1780554405.340415,VDD_IN,4999.68,,
1780554405.340415,VDD_CPU_GPU_CV,1188.48,,
1780554405.340415,VDD_SOC,1468.16,,
1780554405.340415,,,cpu-thermal,53.593
1780554405.340415,,,gpu-thermal,54.125
1780554405.340415,,,soc0-thermal,52.312
1780554405.340415,,,soc1-thermal,51.906
1780554405.340415,,,soc2-thermal,51.937
1780554405.340415,,,tj-thermal,54.437
1780554405.446073,VDD_IN,4999.68,,
1780554405.446073,VDD_CPU_GPU_CV,1188.48,,
1780554405.446073,VDD_SOC,1468.16,,
1780554405.446073,,,cpu-thermal,53.687
1780554405.446073,,,gpu-thermal,54.062
1780554405.446073,,,soc0-thermal,52.281
1780554405.446073,,,soc1-thermal,51.812
1780554405.446073,,,soc2-thermal,51.875
1780554405.446073,,,tj-thermal,54.062
1780554405.551719,VDD_IN,5007.744,,
1780554405.551719,VDD_CPU_GPU_CV,1190.4,,
1780554405.551719,VDD_SOC,1468.16,,
1780554405.551719,,,cpu-thermal,53.718
1780554405.551719,,,gpu-thermal,53.875
1780554405.551719,,,soc0-thermal,52.406
1780554405.551719,,,soc1-thermal,51.718
1780554405.551719,,,soc2-thermal,51.937
1780554405.551719,,,tj-thermal,53.968
1780554405.6575737,VDD_IN,5007.744,,
1780554405.6575737,VDD_CPU_GPU_CV,1230.08,,
1780554405.6575737,VDD_SOC,1468.16,,
1780554405.6575737,,,cpu-thermal,53.656
1780554405.6575737,,,gpu-thermal,54.343
1780554405.6575737,,,soc0-thermal,52.218
1780554405.6575737,,,soc1-thermal,51.781
1780554405.6575737,,,soc2-thermal,51.781
1780554405.6575737,,,tj-thermal,54.343
1780554405.7632263,VDD_IN,5007.744,,
1780554405.7632263,VDD_CPU_GPU_CV,1230.08,,
1780554405.7632263,VDD_SOC,1470.528,,
1780554405.7632263,,,cpu-thermal,53.531
1780554405.7632263,,,gpu-thermal,54.156
1780554405.7632263,,,soc0-thermal,52.218
1780554405.7632263,,,soc1-thermal,51.781
1780554405.7632263,,,soc2-thermal,51.843
1780554405.7632263,,,tj-thermal,54.156
