t,rail,mW,zone,C
1780555028.4239202,VDD_IN,5047.488,,
1780555028.4239202,VDD_CPU_GPU_CV,1230.08,,
1780555028.4239202,VDD_SOC,1470.528,,
1780555028.4239202,,,cpu-thermal,52.812
1780555028.4239202,,,gpu-thermal,53.187
1780555028.4239202,,,soc0-thermal,51.375
1780555028.4239202,,,soc1-thermal,50.937
1780555028.4239202,,,soc2-thermal,50.906
1780555028.4239202,,,tj-thermal,53.187
1780555028.52971,VDD_IN,5039.36,,
1780555028.52971,VDD_CPU_GPU_CV,1228.096,,
1780555028.52971,VDD_SOC,1468.16,,
1780555028.52971,,,cpu-thermal,52.875
1780555028.52971,,,gpu-thermal,53.406
1780555028.52971,,,soc0-thermal,51.437
1780555028.52971,,,soc1-thermal,50.968
1780555028.52971,,,soc2-thermal,50.937
1780555028.52971,,,tj-thermal,53.125
1780555028.6353545,VDD_IN,5031.232,,
1780555028.6353545,VDD_CPU_GPU_CV,1226.112,,
1780555028.6353545,VDD_SOC,1465.792,,
1780555028.6353545,,,cpu-thermal,52.906
1780555028.6353545,,,gpu-thermal,53.281
1780555028.6353545,,,soc0-thermal,51.5
1780555028.6353545,,,soc1-thermal,50.843
1780555028.6353545,,,soc2-thermal,51.062
1780555028.6353545,,,tj-thermal,53.0
1780555028.7412302,VDD_IN,5023.104,,
1780555028.7412302,VDD_CPU_GPU_CV,1226.112,,
1780555028.7412302,VDD_SOC,1463.424,,
1780555028.7412302,,,cpu-thermal,53.0
1780555028.7412302,,,gpu-thermal,53.156
1780555028.7412302,,,soc0-thermal,51.375
1780555028.7412302,,,soc1-thermal,50.843
1780555028.7412302,,,soc2-thermal,50.875
1780555028.7412302,,,tj-thermal,53.156
1780555028.8468947,VDD_IN,4952.0,,
1780555028.8468947,VDD_CPU_GPU_CV,1186.56,,
1780555028.8468947,VDD_SOC,1465.792,,
1780555028.8468947,,,cpu-thermal,52.75
1780555028.8468947,,,gpu-thermal,53.031
