t,rail,mW,zone,C
1780559541.1685872,VDD_IN,5277.44,,
1780559541.1685872,VDD_CPU_GPU_CV,1109.248,,
1780559541.1685872,VDD_SOC,1505.408,,
1780559541.1685872,,,cpu-thermal,49.937
1780559541.1685872,,,gpu-thermal,49.906
1780559541.1685872,,,soc0-thermal,48.437
1780559541.1685872,,,soc1-thermal,47.718
1780559541.1685872,,,soc2-thermal,47.875
1780559541.1685872,,,tj-thermal,49.937
1780559541.274848,VDD_IN,5150.08,,
1780559541.274848,VDD_CPU_GPU_CV,1069.632,,
1780559541.274848,VDD_SOC,1505.408,,
1780559541.274848,,,cpu-thermal,49.781
1780559541.274848,,,gpu-thermal,49.875
1780559541.274848,,,soc0-thermal,48.312
1780559541.274848,,,soc1-thermal,47.875
1780559541.274848,,,soc2-thermal,47.937
1780559541.274848,,,tj-thermal,49.875
1780559541.380985,VDD_IN,4968.0,,
1780559541.380985,VDD_CPU_GPU_CV,992.0,,
1780559541.380985,VDD_SOC,1468.16,,
1780559541.380985,,,cpu-thermal,49.5
1780559541.380985,,,gpu-thermal,50.187
1780559541.380985,,,soc0-thermal,48.281
1780559541.380985,,,soc1-thermal,48.031
1780559541.380985,,,soc2-thermal,47.812
1780559541.380985,,,tj-thermal,50.187
1780559541.487027,VDD_IN,4888.512,,
1780559541.487027,VDD_CPU_GPU_CV,953.856,,
1780559541.487027,VDD_SOC,1470.528,,
1780559541.487027,,,cpu-thermal,49.531
1780559541.487027,,,gpu-thermal,50.0
1780559541.487027,,,soc0-thermal,48.406
1780559541.487027,,,soc1-thermal,47.75
1780559541.487027,,,soc2-thermal,47.937
1780559541.487027,,,tj-thermal,50.0
1780559541.5930467,VDD_IN,4848.768,,
1780559541.5930467,VDD_CPU_GPU_CV,953.856,,
1780559541.5930467,VDD_SOC,1470.528,,
1780559541.5930467,,,cpu-thermal,49.625
1780559541.5930467,,,gpu-thermal,49.937
1780559541.5930467,,,soc0-thermal,48.25
1780559541.5930467,,,soc1-thermal,47.812
1780559541.5930467,,,soc2-thermal,47.968
1780559541.5930467,,,tj-thermal,49.937
1780559541.699302,VDD_IN,4856.576,,
1780559541.699302,VDD_CPU_GPU_CV,953.856,,
1780559541.699302,VDD_SOC,1470.528,,
1780559541.699302,,,cpu-thermal,49.531
1780559541.699302,,,gpu-thermal,49.906
1780559541.699302,,,soc0-thermal,48.25
1780559541.699302,,,soc1-thermal,47.968
1780559541.699302,,,soc2-thermal,47.906
1780559541.699302,,,tj-thermal,49.906
1780559541.8058374,VDD_IN,4816.768,,
1780559541.8058374,VDD_CPU_GPU_CV,953.856,,
1780559541.8058374,VDD_SOC,1472.896,,
1780559541.8058374,,,cpu-thermal,49.593
1780559541.8058374,,,gpu-thermal,50.031
1780559541.8058374,,,soc0-thermal,48.406
1780559541.8058374,,,soc1-thermal,47.781
1780559541.8058374,,,soc2-thermal,47.875
1780559541.8058374,,,tj-thermal,49.843
1780559541.9119236,VDD_IN,4816.768,,
1780559541.9119236,VDD_CPU_GPU_CV,953.856,,
1780559541.9119236,VDD_SOC,1472.896,,
1780559541.9119236,,,cpu-thermal,49.531
1780559541.9119236,,,gpu-thermal,49.906
1780559541.9119236,,,soc0-thermal,48.187
1780559541.9119236,,,soc1-thermal,47.781
