t,rail,mW,zone,C
1780559229.235121,VDD_IN,4904.256,,
1780559229.235121,VDD_CPU_GPU_CV,1035.008,,
1780559229.235121,VDD_SOC,1472.896,,
1780559229.235121,,,cpu-thermal,49.218
1780559229.235121,,,gpu-thermal,49.312
1780559229.235121,,,soc0-thermal,47.843
1780559229.235121,,,soc1-thermal,47.281
1780559229.235121,,,soc2-thermal,47.468
1780559229.235121,,,tj-thermal,49.312
1780559229.3413877,VDD_IN,4816.768,,
1780559229.3413877,VDD_CPU_GPU_CV,953.856,,
1780559229.3413877,VDD_SOC,1472.896,,
1780559229.3413877,,,cpu-thermal,49.343
1780559229.3413877,,,gpu-thermal,49.281
1780559229.3413877,,,soc0-thermal,47.75
1780559229.3413877,,,soc1-thermal,47.312
1780559229.3413877,,,soc2-thermal,47.437
1780559229.3413877,,,tj-thermal,49.343
1780559229.4475355,VDD_IN,4697.344,,
1780559229.4475355,VDD_CPU_GPU_CV,914.112,,
1780559229.4475355,VDD_SOC,1472.896,,
1780559229.4475355,,,cpu-thermal,49.531
1780559229.4475355,,,gpu-thermal,49.656
1780559229.4475355,,,soc0-thermal,47.781
1780559229.4475355,,,soc1-thermal,47.343
1780559229.4475355,,,soc2-thermal,47.375
1780559229.4475355,,,tj-thermal,49.656
1780559229.5534477,VDD_IN,4697.344,,
1780559229.5534477,VDD_CPU_GPU_CV,914.112,,
1780559229.5534477,VDD_SOC,1470.528,,
1780559229.5534477,,,cpu-thermal,49.031
1780559229.5534477,,,gpu-thermal,49.343
1780559229.5534477,,,soc0-thermal,47.843
1780559229.5534477,,,soc1-thermal,47.218
1780559229.5534477,,,soc2-thermal,47.375
1780559229.5534477,,,tj-thermal,49.531
1780559229.6594665,VDD_IN,4729.536,,
1780559229.6594665,VDD_CPU_GPU_CV,912.64,,
1780559229.6594665,VDD_SOC,1470.528,,
1780559229.6594665,,,cpu-thermal,49.187
1780559229.6594665,,,gpu-thermal,49.781
1780559229.6594665,,,soc0-thermal,47.781
1780559229.6594665,,,soc1-thermal,47.25
1780559229.6594665,,,soc2-thermal,47.468
1780559229.6594665,,,tj-thermal,49.406
1780559229.7656202,VDD_IN,4721.92,,
1780559229.7656202,VDD_CPU_GPU_CV,950.784,,
1780559229.7656202,VDD_SOC,1468.16,,
1780559229.7656202,,,cpu-thermal,49.281
1780559229.7656202,,,gpu-thermal,49.593
1780559229.7656202,,,soc0-thermal,47.718
1780559229.7656202,,,soc1-thermal,47.406
1780559229.7656202,,,soc2-thermal,47.437
1780559229.7656202,,,tj-thermal,49.375
1780559229.8716912,VDD_IN,4761.6,,
1780559229.8716912,VDD_CPU_GPU_CV,950.784,,
1780559229.8716912,VDD_SOC,1468.16,,
1780559229.8716912,,,cpu-thermal,49.375
1780559229.8716912,,,gpu-thermal,49.531
1780559229.8716912,,,soc0-thermal,47.781
1780559229.8716912,,,soc1-thermal,47.187
1780559229.8716912,,,soc2-thermal,47.218
1780559229.8716912,,,tj-thermal,49.531
1780559229.9777346,VDD_IN,4761.6,,
1780559229.9777346,VDD_CPU_GPU_CV,950.784,,
1780559229.9777346,VDD_SOC,1468.16,,
1780559229.9777346,,,cpu-thermal,49.062
1780559229.9777346,,,gpu-thermal,49.468
1780559229.9777346,,,soc0-thermal,47.781
1780559229.9777346,,,soc1-thermal,47.187
1780559229.9777346,,,soc2-thermal,47.343
1780559229.9777346,,,tj-thermal,49.75
1780559230.0842032,VDD_IN,4769.28,,
1780559230.0842032,VDD_CPU_GPU_CV,952.32,,
1780559230.0842032,VDD_SOC,1468.16,,
1780559230.0842032,,,cpu-thermal,49.093
1780559230.0842032,,,gpu-thermal,49.312
1780559230.0842032,,,soc0-thermal,47.687
1780559230.0842032,,,soc1-thermal,47.25
1780559230.0842032,,,soc2-thermal,47.343
1780559230.0842032,,,tj-thermal,49.312
1780559230.1906288,VDD_IN,4769.28,,
1780559230.1906288,VDD_CPU_GPU_CV,952.32,,
1780559230.1906288,VDD_SOC,1470.528,,
1780559230.1906288,,,cpu-thermal,49.062
1780559230.1906288,,,gpu-thermal,49.281
1780559230.1906288,,,soc0-thermal,47.781
1780559230.1906288,,,soc1-thermal,47.156
1780559230.1906288,,,soc2-thermal,47.375
1780559230.1906288,,,tj-thermal,49.281
1780559230.2968688,VDD_IN,4737.152,,
1780559230.2968688,VDD_CPU_GPU_CV,914.112,,
1780559230.2968688,VDD_SOC,1470.528,,
1780559230.2968688,,,cpu-thermal,49.093
1780559230.2968688,,,gpu-thermal,49.593
1780559230.2968688,,,soc0-thermal,47.906
1780559230.2968688,,,soc1-thermal,47.281
1780559230.2968688,,,soc2-thermal,47.343
1780559230.2968688,,,tj-thermal,49.593
1780559230.4030252,VDD_IN,4657.536,,
1780559230.4030252,VDD_CPU_GPU_CV,875.776,,
1780559230.4030252,VDD_SOC,1433.088,,
1780559230.4030252,,,cpu-thermal,49.062
1780559230.4030252,,,gpu-thermal,49.406
1780559230.4030252,,,soc0-thermal,47.718
1780559230.4030252,,,soc1-thermal,47.281
1780559230.4030252,,,soc2-thermal,47.375
1780559230.4030252,,,tj-thermal,49.406
1780559230.508872,VDD_IN,4625.152,,
1780559230.508872,VDD_CPU_GPU_CV,875.776,,
1780559230.508872,VDD_SOC,1433.088,,
1780559230.508872,,,cpu-thermal,48.968
1780559230.508872,,,gpu-thermal,49.406
1780559230.508872,,,soc0-thermal,47.781
1780559230.508872,,,soc1-thermal,47.375
1780559230.508872,,,soc2-thermal,47.343
1780559230.508872,,,tj-thermal,49.406
1780559230.6149325,VDD_IN,4665.024,,
1780559230.6149325,VDD_CPU_GPU_CV,875.776,,
1780559230.6149325,VDD_SOC,1433.088,,
1780559230.6149325,,,cpu-thermal,49.031
1780559230.6149325,,,gpu-thermal,49.281
1780559230.6149325,,,soc0-thermal,47.781
1780559230.6149325,,,soc1-thermal,47.25
1780559230.6149325,,,soc2-thermal,47.343
1780559230.6149325,,,tj-thermal,49.281
1780559230.7211425,VDD_IN,4704.896,,
1780559230.7211425,VDD_CPU_GPU_CV,915.584,,
1780559230.7211425,VDD_SOC,1433.088,,
1780559230.7211425,,,cpu-thermal,49.156
1780559230.7211425,,,gpu-thermal,49.281
1780559230.7211425,,,soc0-thermal,47.687
1780559230.7211425,,,soc1-thermal,47.156
1780559230.7211425,,,soc2-thermal,47.281
1780559230.7211425,,,tj-thermal,49.281
1780559230.8271956,VDD_IN,4744.768,,
1780559230.8271956,VDD_CPU_GPU_CV,915.584,,
1780559230.8271956,VDD_SOC,1433.088,,
1780559230.8271956,,,cpu-thermal,49.281
1780559230.8271956,,,gpu-thermal,49.625
1780559230.8271956,,,soc0-thermal,47.687
1780559230.8271956,,,soc1-thermal,47.218
1780559230.8271956,,,soc2-thermal,47.281
1780559230.8271956,,,tj-thermal,49.625
1780559230.9335542,VDD_IN,4744.768,,
1780559230.9335542,VDD_CPU_GPU_CV,955.392,,
1780559230.9335542,VDD_SOC,1433.088,,
1780559230.9335542,,,cpu-thermal,48.937
1780559230.9335542,,,gpu-thermal,49.468
1780559230.9335542,,,soc0-thermal,47.75
1780559230.9335542,,,soc1-thermal,47.093
1780559230.9335542,,,soc2-thermal,47.312
1780559230.9335542,,,tj-thermal,49.468
1780559231.039666,VDD_IN,4744.768,,
1780559231.039666,VDD_CPU_GPU_CV,955.392,,
1780559231.039666,VDD_SOC,1435.392,,
1780559231.039666,,,cpu-thermal,49.0
1780559231.039666,,,gpu-thermal,49.343
1780559231.039666,,,soc0-thermal,47.625
1780559231.039666,,,soc1-thermal,47.156
1780559231.039666,,,soc2-thermal,47.218
1780559231.039666,,,tj-thermal,49.343
1780559231.145765,VDD_IN,4744.768,,
1780559231.145765,VDD_CPU_GPU_CV,955.392,,
1780559231.145765,VDD_SOC,1435.392,,
1780559231.145765,,,cpu-thermal,49.031
1780559231.145765,,,gpu-thermal,49.281
1780559231.145765,,,soc0-thermal,47.718
1780559231.145765,,,soc1-thermal,47.187
1780559231.145765,,,soc2-thermal,47.343
1780559231.145765,,,tj-thermal,49.281
1780559231.2523873,VDD_IN,4744.768,,
1780559231.2523873,VDD_CPU_GPU_CV,955.392,,
1780559231.2523873,VDD_SOC,1435.392,,
1780559231.2523873,,,cpu-thermal,49.0
1780559231.2523873,,,gpu-thermal,49.343
1780559231.2523873,,,soc0-thermal,47.718
1780559231.2523873,,,soc1-thermal,47.281
1780559231.2523873,,,soc2-thermal,47.218
1780559231.2523873,,,tj-thermal,49.218
1780559231.3584096,VDD_IN,4665.024,,
1780559231.3584096,VDD_CPU_GPU_CV,877.184,,
1780559231.3584096,VDD_SOC,1435.392,,
1780559231.3584096,,,cpu-thermal,49.0
1780559231.3584096,,,gpu-thermal,49.281
1780559231.3584096,,,soc0-thermal,47.593
1780559231.3584096,,,soc1-thermal,47.125
1780559231.3584096,,,soc2-thermal,47.25
1780559231.3584096,,,tj-thermal,49.062
1780559231.4642277,VDD_IN,4592.64,,
1780559231.4642277,VDD_CPU_GPU_CV,837.312,,
1780559231.4642277,VDD_SOC,1437.696,,
1780559231.4642277,,,cpu-thermal,48.937
1780559231.4642277,,,gpu-thermal,49.218
1780559231.4642277,,,soc0-thermal,47.531
1780559231.4642277,,,soc1-thermal,47.093
1780559231.4642277,,,soc2-thermal,47.218
1780559231.4642277,,,tj-thermal,49.218
1780559231.5700047,VDD_IN,4632.576,,
1780559231.5700047,VDD_CPU_GPU_CV,877.184,,
1780559231.5700047,VDD_SOC,1437.696,,
1780559231.5700047,,,cpu-thermal,48.812
1780559231.5700047,,,gpu-thermal,49.187
1780559231.5700047,,,soc0-thermal,47.625
1780559231.5700047,,,soc1-thermal,47.218
1780559231.5700047,,,soc2-thermal,47.218
1780559231.5700047,,,tj-thermal,49.187
1780559231.676018,VDD_IN,4672.512,,
1780559231.676018,VDD_CPU_GPU_CV,917.056,,
1780559231.676018,VDD_SOC,1435.392,,
1780559231.676018,,,cpu-thermal,48.75
1780559231.676018,,,gpu-thermal,49.562
1780559231.676018,,,soc0-thermal,47.718
1780559231.676018,,,soc1-thermal,46.968
1780559231.676018,,,soc2-thermal,47.156
1780559231.676018,,,tj-thermal,49.562
1780559231.7822332,VDD_IN,4712.448,,
1780559231.7822332,VDD_CPU_GPU_CV,917.056,,
1780559231.7822332,VDD_SOC,1435.392,,
1780559231.7822332,,,cpu-thermal,48.812
1780559231.7822332,,,gpu-thermal,49.312
1780559231.7822332,,,soc0-thermal,47.562
1780559231.7822332,,,soc1-thermal,47.125
1780559231.7822332,,,soc2-thermal,47.156
1780559231.7822332,,,tj-thermal,49.312
1780559231.888781,VDD_IN,4712.448,,
1780559231.888781,VDD_CPU_GPU_CV,917.056,,
1780559231.888781,VDD_SOC,1435.392,,
1780559231.888781,,,cpu-thermal,48.875
1780559231.888781,,,gpu-thermal,49.343
1780559231.888781,,,soc0-thermal,47.562
1780559231.888781,,,soc1-thermal,47.093
1780559231.888781,,,soc2-thermal,47.187
1780559231.888781,,,tj-thermal,49.343
1780559231.9948158,VDD_IN,4752.384,,
1780559231.9948158,VDD_CPU_GPU_CV,956.928,,
1780559231.9948158,VDD_SOC,1435.392,,
1780559231.9948158,,,cpu-thermal,48.812
1780559231.9948158,,,gpu-thermal,49.25
1780559231.9948158,,,soc0-thermal,47.687
1780559231.9948158,,,soc1-thermal,47.062
1780559231.9948158,,,soc2-thermal,47.156
1780559231.9948158,,,tj-thermal,49.25
1780559232.1012683,VDD_IN,4752.384,,
1780559232.1012683,VDD_CPU_GPU_CV,956.928,,
1780559232.1012683,VDD_SOC,1435.392,,
1780559232.1012683,,,cpu-thermal,48.937
1780559232.1012683,,,gpu-thermal,49.093
1780559232.1012683,,,soc0-thermal,47.5
1780559232.1012683,,,soc1-thermal,47.0
1780559232.1012683,,,soc2-thermal,47.156
1780559232.1012683,,,tj-thermal,49.093
1780559232.2075684,VDD_IN,4752.384,,
1780559232.2075684,VDD_CPU_GPU_CV,956.928,,
1780559232.2075684,VDD_SOC,1435.392,,
1780559232.2075684,,,cpu-thermal,49.062
1780559232.2075684,,,gpu-thermal,49.093
1780559232.2075684,,,soc0-thermal,47.562
1780559232.2075684,,,soc1-thermal,47.125
1780559232.2075684,,,soc2-thermal,47.156
1780559232.2075684,,,tj-thermal,49.093
1780559232.313683,VDD_IN,4712.448,,
1780559232.313683,VDD_CPU_GPU_CV,917.056,,
1780559232.313683,VDD_SOC,1437.696,,
1780559232.313683,,,cpu-thermal,49.156
1780559232.313683,,,gpu-thermal,49.312
1780559232.313683,,,soc0-thermal,47.562
1780559232.313683,,,soc1-thermal,46.906
1780559232.313683,,,soc2-thermal,47.093
1780559232.313683,,,tj-thermal,49.312
1780559232.4196267,VDD_IN,4632.576,,
1780559232.4196267,VDD_CPU_GPU_CV,877.184,,
1780559232.4196267,VDD_SOC,1437.696,,
1780559232.4196267,,,cpu-thermal,48.718
1780559232.4196267,,,gpu-thermal,49.25
1780559232.4196267,,,soc0-thermal,47.468
1780559232.4196267,,,soc1-thermal,47.031
1780559232.4196267,,,soc2-thermal,47.062
1780559232.4196267,,,tj-thermal,49.25
1780559232.526013,VDD_IN,4592.64,,
1780559232.526013,VDD_CPU_GPU_CV,837.312,,
1780559232.526013,VDD_SOC,1437.696,,
1780559232.526013,,,cpu-thermal,48.812
1780559232.526013,,,gpu-thermal,49.156
1780559232.526013,,,soc0-thermal,47.468
1780559232.526013,,,soc1-thermal,47.031
1780559232.526013,,,soc2-thermal,47.218
1780559232.526013,,,tj-thermal,49.156
1780559232.6323884,VDD_IN,4632.576,,
1780559232.6323884,VDD_CPU_GPU_CV,877.184,,
1780559232.6323884,VDD_SOC,1437.696,,
1780559232.6323884,,,cpu-thermal,48.75
1780559232.6323884,,,gpu-thermal,49.125
1780559232.6323884,,,soc0-thermal,47.593
1780559232.6323884,,,soc1-thermal,46.906
1780559232.6323884,,,soc2-thermal,47.062
