t,rail,mW,zone,C
1780555649.2292323,VDD_IN,5634.56,,
1780555649.2292323,VDD_CPU_GPU_CV,1663.872,,
1780555649.2292323,VDD_SOC,1505.408,,
1780555649.2292323,,,cpu-thermal,50.0
1780555649.2292323,,,gpu-thermal,50.093
1780555649.2292323,,,soc0-thermal,48.25
1780555649.2292323,,,soc1-thermal,47.875
1780555649.2292323,,,soc2-thermal,48.0
1780555649.2292323,,,tj-thermal,50.093
1780555649.3347642,VDD_IN,5506.624,,
1780555649.3347642,VDD_CPU_GPU_CV,1582.08,,
1780555649.3347642,VDD_SOC,1502.976,,
1780555649.3347642,,,cpu-thermal,49.656
1780555649.3347642,,,gpu-thermal,50.218
1780555649.3347642,,,soc0-thermal,48.281
1780555649.3347642,,,soc1-thermal,47.937
1780555649.3347642,,,soc2-thermal,47.968
1780555649.3347642,,,tj-thermal,50.0
1780555649.4408274,VDD_IN,5418.624,,
1780555649.4408274,VDD_CPU_GPU_CV,1500.544,,
1780555649.4408274,VDD_SOC,1502.976,,
1780555649.4408274,,,cpu-thermal,49.687
1780555649.4408274,,,gpu-thermal,50.156
1780555649.4408274,,,soc0-thermal,48.343
1780555649.4408274,,,soc1-thermal,47.75
1780555649.4408274,,,soc2-thermal,48.031
1780555649.4408274,,,tj-thermal,50.375
1780555649.5463667,VDD_IN,5291.392,,
1780555649.5463667,VDD_CPU_GPU_CV,1419.264,,
1780555649.5463667,VDD_SOC,1461.056,,
1780555649.5463667,,,cpu-thermal,49.656
1780555649.5463667,,,gpu-thermal,50.156
1780555649.5463667,,,soc0-thermal,48.25
1780555649.5463667,,,soc1-thermal,47.75
1780555649.5463667,,,soc2-thermal,47.937
1780555649.5463667,,,tj-thermal,50.156
1780555649.652013,VDD_IN,5251.904,,
1780555649.652013,VDD_CPU_GPU_CV,1379.84,,
1780555649.652013,VDD_SOC,1461.056,,
1780555649.652013,,,cpu-thermal,49.656
1780555649.652013,,,gpu-thermal,50.0
1780555649.652013,,,soc0-thermal,48.281
1780555649.652013,,,soc1-thermal,47.843
1780555649.652013,,,soc2-thermal,47.937
1780555649.652013,,,tj-thermal,50.0
1780555649.7578833,VDD_IN,5212.416,,
1780555649.7578833,VDD_CPU_GPU_CV,1340.416,,
1780555649.7578833,VDD_SOC,1461.056,,
1780555649.7578833,,,cpu-thermal,49.562
1780555649.7578833,,,gpu-thermal,50.406
1780555649.7578833,,,soc0-thermal,48.281
1780555649.7578833,,,soc1-thermal,47.906
1780555649.7578833,,,soc2-thermal,48.0
1780555649.7578833,,,tj-thermal,50.406
1780555649.8634274,VDD_IN,5102.208,,
1780555649.8634274,VDD_CPU_GPU_CV,1263.616,,
1780555649.8634274,VDD_SOC,1461.056,,
1780555649.8634274,,,cpu-thermal,49.937
1780555649.8634274,,,gpu-thermal,50.031
1780555649.8634274,,,soc0-thermal,48.375
1780555649.8634274,,,soc1-thermal,47.718
1780555649.8634274,,,soc2-thermal,47.937
1780555649.8634274,,,tj-thermal,50.25
1780555649.9689915,VDD_IN,4991.616,,
1780555649.9689915,VDD_CPU_GPU_CV,1226.112,,
1780555649.9689915,VDD_SOC,1463.424,,
1780555649.9689915,,,cpu-thermal,49.468
1780555649.9689915,,,gpu-thermal,49.968
1780555649.9689915,,,soc0-thermal,48.187
1780555649.9689915,,,soc1-thermal,47.812
1780555649.9689915,,,soc2-thermal,47.875
1780555649.9689915,,,tj-thermal,49.968
1780555650.0743785,VDD_IN,4991.616,,
1780555650.0743785,VDD_CPU_GPU_CV,1186.56,,
1780555650.0743785,VDD_SOC,1463.424,,
1780555650.0743785,,,cpu-thermal,49.531
1780555650.0743785,,,gpu-thermal,50.406
1780555650.0743785,,,soc0-thermal,48.25
1780555650.0743785,,,soc1-thermal,47.75
1780555650.0743785,,,soc2-thermal,47.812
1780555650.0743785,,,tj-thermal,50.406
1780555650.1798627,VDD_IN,4983.552,,
1780555650.1798627,VDD_CPU_GPU_CV,1186.56,,
1780555650.1798627,VDD_SOC,1463.424,,
1780555650.1798627,,,cpu-thermal,49.718
1780555650.1798627,,,gpu-thermal,50.25
1780555650.1798627,,,soc0-thermal,48.312
1780555650.1798627,,,soc1-thermal,47.812
1780555650.1798627,,,soc2-thermal,47.906
1780555650.1798627,,,tj-thermal,50.25
1780555650.2853992,VDD_IN,4983.552,,
1780555650.2853992,VDD_CPU_GPU_CV,1224.128,,
1780555650.2853992,VDD_SOC,1463.424,,
1780555650.2853992,,,cpu-thermal,49.781
1780555650.2853992,,,gpu-thermal,50.031
1780555650.2853992,,,soc0-thermal,48.187
1780555650.2853992,,,soc1-thermal,47.625
1780555650.2853992,,,soc2-thermal,47.812
1780555650.2853992,,,tj-thermal,50.031
1780555650.3912814,VDD_IN,4983.552,,
1780555650.3912814,VDD_CPU_GPU_CV,1224.128,,
1780555650.3912814,VDD_SOC,1463.424,,
1780555650.3912814,,,cpu-thermal,49.875
1780555650.3912814,,,gpu-thermal,50.281
1780555650.3912814,,,soc0-thermal,48.156
1780555650.3912814,,,soc1-thermal,47.781
1780555650.3912814,,,soc2-thermal,47.875
1780555650.3912814,,,tj-thermal,50.093
1780555650.4968803,VDD_IN,4983.552,,
1780555650.4968803,VDD_CPU_GPU_CV,1224.128,,
1780555650.4968803,VDD_SOC,1463.424,,
1780555650.4968803,,,cpu-thermal,49.562
1780555650.4968803,,,gpu-thermal,50.125
1780555650.4968803,,,soc0-thermal,48.125
1780555650.4968803,,,soc1-thermal,47.75
1780555650.4968803,,,soc2-thermal,47.875
1780555650.4968803,,,tj-thermal,50.125
1780555650.6025145,VDD_IN,4983.552,,
1780555650.6025145,VDD_CPU_GPU_CV,1226.112,,
1780555650.6025145,VDD_SOC,1463.424,,
1780555650.6025145,,,cpu-thermal,49.531
1780555650.6025145,,,gpu-thermal,50.062
1780555650.6025145,,,soc0-thermal,48.25
1780555650.6025145,,,soc1-thermal,47.562
1780555650.6025145,,,soc2-thermal,47.875
1780555650.6025145,,,tj-thermal,50.062
1780555650.7083056,VDD_IN,4991.616,,
1780555650.7083056,VDD_CPU_GPU_CV,1226.112,,
1780555650.7083056,VDD_SOC,1463.424,,
1780555650.7083056,,,cpu-thermal,49.718
1780555650.7083056,,,gpu-thermal,49.937
1780555650.7083056,,,soc0-thermal,48.156
1780555650.7083056,,,soc1-thermal,47.718
1780555650.7083056,,,soc2-thermal,47.812
1780555650.7083056,,,tj-thermal,49.937
1780555650.813847,VDD_IN,4991.616,,
1780555650.813847,VDD_CPU_GPU_CV,1188.48,,
1780555650.813847,VDD_SOC,1465.792,,
1780555650.813847,,,cpu-thermal,49.5
1780555650.813847,,,gpu-thermal,49.937
1780555650.813847,,,soc0-thermal,48.156
1780555650.813847,,,soc1-thermal,47.718
1780555650.813847,,,soc2-thermal,47.781
1780555650.813847,,,tj-thermal,49.937
1780555650.9194205,VDD_IN,4920.32,,
1780555650.9194205,VDD_CPU_GPU_CV,1150.72,,
1780555650.9194205,VDD_SOC,1428.48,,
1780555650.9194205,,,cpu-thermal,49.437
1780555650.9194205,,,gpu-thermal,49.906
1780555650.9194205,,,soc0-thermal,48.031
1780555650.9194205,,,soc1-thermal,47.75
1780555650.9194205,,,soc2-thermal,47.781
1780555650.9194205,,,tj-thermal,50.375
1780555651.024668,VDD_IN,4848.768,,
1780555651.024668,VDD_CPU_GPU_CV,1111.04,,
1780555651.024668,VDD_SOC,1430.784,,
