t,rail,mW,zone,C
1780560167.6989937,VDD_IN,4896.384,,
1780560167.6989937,VDD_CPU_GPU_CV,953.856,,
1780560167.6989937,VDD_SOC,1472.896,,
1780560167.6989937,,,cpu-thermal,49.875
1780560167.6989937,,,gpu-thermal,49.906
1780560167.6989937,,,soc0-thermal,48.343
1780560167.6989937,,,soc1-thermal,47.968
1780560167.6989937,,,soc2-thermal,47.937
1780560167.6989937,,,tj-thermal,50.125
1780560167.80565,VDD_IN,4888.512,,
1780560167.80565,VDD_CPU_GPU_CV,952.32,,
1780560167.80565,VDD_SOC,1468.16,,
1780560167.80565,,,cpu-thermal,49.718
1780560167.80565,,,gpu-thermal,50.312
1780560167.80565,,,soc0-thermal,48.468
1780560167.80565,,,soc1-thermal,47.875
1780560167.80565,,,soc2-thermal,47.968
1780560167.80565,,,tj-thermal,50.062
1780560167.9118848,VDD_IN,4880.64,,
1780560167.9118848,VDD_CPU_GPU_CV,990.4,,
1780560167.9118848,VDD_SOC,1468.16,,
1780560167.9118848,,,cpu-thermal,49.687
1780560167.9118848,,,gpu-thermal,50.218
1780560167.9118848,,,soc0-thermal,48.406
1780560167.9118848,,,soc1-thermal,47.906
1780560167.9118848,,,soc2-thermal,47.937
1780560167.9118848,,,tj-thermal,49.937
1780560168.0184252,VDD_IN,4840.96,,
1780560168.0184252,VDD_CPU_GPU_CV,990.4,,
1780560168.0184252,VDD_SOC,1468.16,,
1780560168.0184252,,,cpu-thermal,50.0
1780560168.0184252,,,gpu-thermal,50.125
1780560168.0184252,,,soc0-thermal,48.468
1780560168.0184252,,,soc1-thermal,47.968
1780560168.0184252,,,soc2-thermal,48.0
1780560168.0184252,,,tj-thermal,50.468
1780560168.1247482,VDD_IN,4848.768,,
1780560168.1247482,VDD_CPU_GPU_CV,952.32,,
1780560168.1247482,VDD_SOC,1468.16,,
1780560168.1247482,,,cpu-thermal,49.625
1780560168.1247482,,,gpu-thermal,50.0
1780560168.1247482,,,soc0-thermal,48.437
1780560168.1247482,,,soc1-thermal,48.093
1780560168.1247482,,,soc2-thermal,47.937
1780560168.1247482,,,tj-thermal,50.25
1780560168.2310894,VDD_IN,4809.024,,
1780560168.2310894,VDD_CPU_GPU_CV,952.32,,
1780560168.2310894,VDD_SOC,1470.528,,
1780560168.2310894,,,cpu-thermal,49.75
1780560168.2310894,,,gpu-thermal,50.062
1780560168.2310894,,,soc0-thermal,48.312
1780560168.2310894,,,soc1-thermal,47.906
1780560168.2310894,,,soc2-thermal,48.0
1780560168.2310894,,,tj-thermal,50.062
1780560168.3380861,VDD_IN,4737.152,,
1780560168.3380861,VDD_CPU_GPU_CV,914.112,,
1780560168.3380861,VDD_SOC,1470.528,,
1780560168.3380861,,,cpu-thermal,49.843
1780560168.3380861,,,gpu-thermal,50.343
1780560168.3380861,,,soc0-thermal,48.343
1780560168.3380861,,,soc1-thermal,47.937
1780560168.3380861,,,soc2-thermal,48.093
1780560168.3380861,,,tj-thermal,50.062
1780560168.444071,VDD_IN,4657.536,,
1780560168.444071,VDD_CPU_GPU_CV,875.776,,
1780560168.444071,VDD_SOC,1433.088,,
1780560168.444071,,,cpu-thermal,49.812
1780560168.444071,,,gpu-thermal,50.218
1780560168.444071,,,soc0-thermal,48.406
1780560168.444071,,,soc1-thermal,48.093
1780560168.444071,,,soc2-thermal,47.875
1780560168.444071,,,tj-thermal,50.0
1780560168.5497894,VDD_IN,5007.744,,
1780560168.5497894,VDD_CPU_GPU_CV,1071.36,,
1780560168.5497894,VDD_SOC,1468.16,,
1780560168.5497894,,,cpu-thermal,50.0
1780560168.5497894,,,gpu-thermal,50.0
1780560168.5497894,,,soc0-thermal,48.281
1780560168.5497894,,,soc1-thermal,47.75
1780560168.5497894,,,soc2-thermal,48.031
1780560168.5497894,,,tj-thermal,50.0
1780560168.6565912,VDD_IN,5308.544,,
1780560168.6565912,VDD_CPU_GPU_CV,1305.216,,
1780560168.6565912,VDD_SOC,1505.408,,
1780560168.6565912,,,cpu-thermal,50.218
1780560168.6565912,,,gpu-thermal,50.0
1780560168.6565912,,,soc0-thermal,48.375
1780560168.6565912,,,soc1-thermal,47.906
1780560168.6565912,,,soc2-thermal,48.125
1780560168.6565912,,,tj-thermal,50.25
1780560168.7635996,VDD_IN,5576.832,,
1780560168.7635996,VDD_CPU_GPU_CV,1500.544,,
1780560168.7635996,VDD_SOC,1500.544,,
1780560168.7635996,,,cpu-thermal,50.156
1780560168.7635996,,,gpu-thermal,50.187
1780560168.7635996,,,soc0-thermal,48.375
1780560168.7635996,,,soc1-thermal,47.843
1780560168.7635996,,,soc2-thermal,48.031
1780560168.7635996,,,tj-thermal,50.187
1780560168.8708396,VDD_IN,5765.248,,
1780560168.8708396,VDD_CPU_GPU_CV,1655.808,,
1780560168.8708396,VDD_SOC,1540.032,,
1780560168.8708396,,,cpu-thermal,50.031
1780560168.8708396,,,gpu-thermal,50.062
1780560168.8708396,,,soc0-thermal,48.25
1780560168.8708396,,,soc1-thermal,47.812
1780560168.8708396,,,soc2-thermal,48.093
1780560168.8708396,,,tj-thermal,50.406
1780560168.9778552,VDD_IN,5844.224,,
1780560168.9778552,VDD_CPU_GPU_CV,1695.232,,
1780560168.9778552,VDD_SOC,1537.536,,
1780560168.9778552,,,cpu-thermal,50.281
1780560168.9778552,,,gpu-thermal,50.0
1780560168.9778552,,,soc0-thermal,48.281
1780560168.9778552,,,soc1-thermal,47.937
1780560168.9778552,,,soc2-thermal,48.156
1780560168.9778552,,,tj-thermal,50.281
1780560169.0844176,VDD_IN,5616.384,,
1780560169.0844176,VDD_CPU_GPU_CV,1540.032,,
1780560169.0844176,VDD_SOC,1500.544,,
1780560169.0844176,,,cpu-thermal,49.718
1780560169.0844176,,,gpu-thermal,49.906
1780560169.0844176,,,soc0-thermal,48.281
1780560169.0844176,,,soc1-thermal,47.75
1780560169.0844176,,,soc2-thermal,47.875
1780560169.0844176,,,tj-thermal,49.937
1780560169.1906157,VDD_IN,5458.176,,
1780560169.1906157,VDD_CPU_GPU_CV,1423.872,,
1780560169.1906157,VDD_SOC,1502.976,,
1780560169.1906157,,,cpu-thermal,49.843
1780560169.1906157,,,gpu-thermal,50.343
1780560169.1906157,,,soc0-thermal,48.25
1780560169.1906157,,,soc1-thermal,47.875
1780560169.1906157,,,soc2-thermal,47.968
1780560169.1906157,,,tj-thermal,50.343
1780560169.2968683,VDD_IN,5268.928,,
1780560169.2968683,VDD_CPU_GPU_CV,1307.328,,
1780560169.2968683,VDD_SOC,1505.408,,
1780560169.2968683,,,cpu-thermal,49.843
1780560169.2968683,,,gpu-thermal,50.25
1780560169.2968683,,,soc0-thermal,48.375
1780560169.2968683,,,soc1-thermal,47.968
1780560169.2968683,,,soc2-thermal,47.937
1780560169.2968683,,,tj-thermal,50.25
1780560169.4029582,VDD_IN,5087.232,,
1780560169.4029582,VDD_CPU_GPU_CV,1150.72,,
1780560169.4029582,VDD_SOC,1468.16,,
1780560169.4029582,,,cpu-thermal,49.906
1780560169.4029582,,,gpu-thermal,50.125
1780560169.4029582,,,soc0-thermal,48.312
1780560169.4029582,,,soc1-thermal,48.0
1780560169.4029582,,,soc2-thermal,47.906
1780560169.4029582,,,tj-thermal,50.125
1780560169.5086718,VDD_IN,4968.0,,
1780560169.5086718,VDD_CPU_GPU_CV,1071.36,,
1780560169.5086718,VDD_SOC,1470.528,,
1780560169.5086718,,,cpu-thermal,49.593
1780560169.5086718,,,gpu-thermal,50.218
1780560169.5086718,,,soc0-thermal,48.312
1780560169.5086718,,,soc1-thermal,47.781
1780560169.5086718,,,soc2-thermal,47.875
1780560169.5086718,,,tj-thermal,49.875
1780560169.6151462,VDD_IN,4928.256,,
1780560169.6151462,VDD_CPU_GPU_CV,1073.088,,
